#,#
% of total,Жами %
(no name),(исмсиз)
Delete PI Group,PI гуруҳини ўчириш
Delete process?,
Delete proforma,Проформани ўчириш
Delete stage?,Босқич ўчирилсинми?
Delete Supplier,Етказиб берувчини ўчириш
Delete supplier,Етказувчини ўчириш
Delete tender?,Тендер ўчирилсинми?
Delete this commercial invoice?,Бу тижорат инвойси ўчирилсинми?
Delete this deal?,Ушбу битимни Ӯчирилсинми?
Delete this draft entry?,
Delete this draft transfer?,
Delete this lead?,Ушбу лидни Ӯчирилсинми?
Delete this process?,Бу жараённи ўчиришни хоҳлайсизми?
Delete this proforma?,Бу проформа ўчирилсинми?
"Delete this tender deal? Deletion is refused while quotations, RFQs or orders reference it.","Бу тендер ўчирилсинми? Котировкалар, RFQ ёки буюртмалар ҳавола қилса, ўчириш рад этилади."
Delete Vendor Category,Категорияни ўчириш
deleted,ўчирилади
Deleting shows everything that depends on this invoice before anything is removed.,Ўчириш аввал бу инвойсга боғлиқ ҳамма нарсани кўрсатади.
Deleting shows everything that depends on this proforma before anything is removed.,Ўчириш аввал бу проформага боғлиқ ҳамма нарсани кўрсатади.
Deleting…,Ўчирилмоқда…
Deliv,Етк.
Deliver,Етказиш
Delivered,Етказилган
Delivered total,Етказиб бериш билан жами
DELIVERED_TO_UZBEKISTAN,Ўзбекистонга етказилди
Delivery,Етказиш
Delivery / service,Етказиш / хизмат
Delivery and notes,Етказиб бериш ва изоҳлар
Delivery Date,Етказиш санаси
Delivery date,Етказиш санаси
Delivery deadline,Етказиш муддати
Delivery Location,Етказиш жойи
Delivery location,Етказиш жойи
Delivery Note,Етказиб бериш варақаси
delivery or collection still running,етказиб бериш ёки йиғиш давом этмоқда
Delta,
DEPARTED_IRAN,Эрондан чиқди
Department,Бўлим
department,бўлим
Departure,Жўнаш
Departure Date,Жўнаш санаси
Departure override,Чиқиш истисноси
Departure override reason,Чиқиш истисноси сабаби
Departure released by override: {0},Чиқиш истисно тариқасида рухсат этилди: {0}
Deposit,Тушум
Deposit to,Ўрнатиш
depts,бўлим
derived from child lots,лотлар бўйича ҳисобланган
Describe the problem…,Масалани таъриф бер…
Description,Таъриф
Deselect All,Танловни бекор қилиш
Designation,Лавозим
designation,лавозим
Desk access,Стол орқали кириш
Destination,Манзил
Destination Warehouse,Манзил омбори
Destination warehouse,Манзил омбори
Detach from this lot,Ушбу лотдан ажратиш
Details,Тафсилотлар
Deviating lines,Оғишли қаторлар
Device,
Device created.,
Device late (min),
Device mapping,
Device name,
Device name is required.,
Device name or branch…,
Device updated.,
Device user,
Device user ID,
Device user ID is required.,
device_name is required.,
device_user_id is required.,
Didox,
Didox may reject this document — missing data:,
Diff,Фарқ
diff,фарқ
Difference,Фарқ
Difference kg,"Фарқ, кг"
Differences only,Фақат фарқлар
Differs,Фарқ қилади
"Digits only, e.g. 48654899","Фақат рақамлар, масалан 48654899"
Dimensional Sales Lines,Ўлчамли сотув қаторлари
Direct credit note,
Direct Invoicing,Тўғридан-тўғри ҳисоб-фактура
direct link,тўғридан-тўғри бириктириш
Direct sales return,
Direct stock updates via Sales Invoice are disabled by company policy. ,
Direction,Йўналиш
Directions,Йўналиш
Director board,Директор панели
Disable,
Disable account?,
Disabled,Нофаол
Disc,Чегирма
Disc %,Чегирма %
Discard,
Discard unsaved changes?,
DISCHARGED,Туширилган
Discipline,Интизом
Discount,Чегирма
Discount %,Чегирма %
Discount column,Чегирма устуни
Discrepancies Report →,Номувофиқликлар ҳисоботи →
Dismiss,Ёпиш
Dispatched,Юборилган
Display Name,Кўрсатиладиган ном
Distribute oldest-first,Эскидан янгига тақсимлаш
Distributor,Тарқатувчи
Distributor claims will appear here once submitted.,Тарқатувчи талаблари тасдиқланганидан сўнг бу ерда пайдо бўлади.
District,
Dividend tax,Дивиденд солиғи
Dividends,Дивидендлар
DN,DN
Doc #,Ҳужжат №
Doc Center,Ҳужжатлар маркази
Docs,Ҳужжат
docs,ҳужжатлар
Docs (customs),Ҳужжатлар (божхона)
Docs amount,Ҳужжат суммаси
docs match,ҳужжатлар мос
docs missing,ҳужжат етишмаяпти
Docs only,Фақат docs бўйича
Docs Only,Фақат ҳужжат бўйича
Docs portion,Ҳужжат қисми
Docs price,Docs нархи
Docs Price,Ҳужжат нархи
Docs price differs from PI ({prices}),Ҳужжат нархи ПИ дан фарқ қилади ({prices})
Docs rate,Ҳужжат нархи
Docs Total,Ҳужжат суммаси
Docs total,Ҳужжатлар суммаси
Docs-price mismatches,Ҳужжат нархи мос келмаслиги
DocType,Ҳужжат тури
Document,Ҳужжат
Document & notes,Ҳужжат ва изоҳлар
Document attached.,Ҳужжат бириктирилди.
Document cancelled successfully.,
Document Center,Ҳужжатлар маркази
Document center,Ҳужжатлар маркази
Document changed,
Document checklist,Ҳужжатлар рўйхати
Document deleted successfully.,
Document Missing,Ҳужжат етишмаяпти
Document not found,Ҳужжат топилмади
Document not found.,
Document or company…,
Document removed.,Ҳужжат ўчирилди.
Document requirements,Hujjat talapları
Document saved successfully.,
document set complete,ҳужжатлар тўплами тўлиқ
Document status,Ҳужжатлар ҳолати
Document submitted successfully.,
Document Type,Ҳужжат тури
Document type,Ҳужжат тури
Document type and name are required.,
Document updated successfully.,
Document uploaded successfully,Ҳужжат муваффақиятли юкланди
Document waived.,Ҳужжат истисно қилинди.
"Document, party or requester…","Ҳужжат, контрагент ёки сўровчи…"
Documentation,Ҳужжатлаштириш
Documents,Ҳужжатлар
Documents belong to a different company.,Ҳужжатлар бошқа компанияга тегишли.
Done,Бажарилди
done,бажарилди
Download .ics,.ics юклаб олиш
Download CBU exchange rates,CBU валюта курсларини юклаб олиш
Download failed,Júklew áwmelgi
Downpayment,Бошланғич тўлов
Downpayment %,Бошланғич тўлов %
Draft,Қоралама
DRAFT,Қоралама
Draft + submitted,Қоралама + тасдиқланган
Draft an additional landed cost voucher for late costs on this GRN?,Ушбу қабул учун кечиккан харажатларга қўшимча таннарх ваучерини яратилсинми?
Draft deleted.,Қоралама ўчирилди.
Draft entry deleted.,
Draft landed cost vouchers,LCV қораламалари (landed cost)
Draft Purchase Invoice created: {0},Қоралама харид фактураси яратилди: {0}
Draft Sales Invoice created: {0},Сотув фактураси қоралами яратилди: {0}
Draft transaction created.,Қоралама транзакция яратилди.
Draft transfer deleted.,
Draft voucher {lcv} created — it still needs accountant submit in the books.,{lcv} ваучер қораламаси яратилди — уни ҳали бухгалтер ҳисобда тасдиқлаши керак.
Drill-down report: customer → invoices → document. Returns netted.,Тафсилот: мижоз → ҳисоб-фактуралар → ҳужжат. Қайтаришлар ҳисобга олинган.
Drill-down report: item → invoice lines → document.,Тафсилот: маҳсулот → ҳисоб-фактура қаторлари → ҳужжат.
Drill-down report: supplier → bills → document.,Тафсилот: етказиб берувчи → ҳисоблар → ҳужжат.
Driver,Ҳайдовчи
Driver Name,Ҳайдовчи исми
Driver Phone,Ҳайдовчи телефони
Driver phone,Ҳайдовчи телефони
Drop deal here,Битимни шу ерга ташланг
Due,Мўлжалланган
DUE,МУДДАТ
Due Date,Мўлжалланган сана
Due date,Мўлжалланган сана
due date is today,муддати бугун
due date passed — act today,муддат ўтди — бугун ҳаракат
"due date passed, still open","муддат ўтди, ҳали очиқ"
Due today,Бугун тугаши керак
Duplicate,
Duplicate approval,
Duplicate Event,
Duplicate sequence {0} on this route.,Бу маршрутда {0} пайтов
Duplicate summary,
Duplicates,Дубликатлар
Duration (ms),Давомийлик (миллисекунд)
Duties,Божхона тўловлари
duties,божлар
Duty,Бож
Duty %,Бож %
Duty Amount (UZS),Бож миқдори (UZS)
Duty Rate %,Бож ставкаси %
Duty supplement,Вазифа қўшимчаси
Duty supplement (%),Вазифа қўшимчаси (%)
E'tibor talab qiladi,Эътибор талаб қилади
E-IMZO did not respond (timeout). Check that the app is running.,
E-IMZO error,
E-IMZO is not running. Start the E-IMZO desktop app and try again.,
E-IMZO returned an invalid response,
e.g. ANJ — leave blank to auto-generate,масалан ANJ — автоматик учун бўш қолдиринг
e.g. bank / SWIFT,масалан банк / SWIFT
e.g. Chevrolet Cobalt 2024,масалан Chevrolet Cobalt 2024
e.g. EMP-00042,
e.g. FIR/25-26/29639-29647,масалан FIR/25-26/29639-29647
e.g. Main entrance reader,
e.g. MH/3054/2025-26,"масалан, MH/3054/2025-26"
e.g. office,масалан офис
"e.g. OK, Approved","мас. Ҳа, Тасдиқланди"
e.g. Standard 8h shift,
e.g. UZEX Supply Tender 2026,"масалан, UZEX етказиб бериш тендери 2026"
Each additional step charges the step fee.,
Each employee's Region band (on their profile) selects which rate applies; NO_TRAVEL pays nothing.,Ходимнинг ҳудуди (профилида) қайси ставка қўлланишини белгилайди; NO_TRAVEL — тўловсиз.
Each purpose row must be an object.,
Each purpose row needs a service person.,
Each tender is counted in exactly one stage. Click a stage to open its list.,Ҳар бир тендер фақат битта босқичда ҳисобланади. Рўйхатни очиш учун босқични босинг.
Early,Эрта кетиш
Early Exit,
Early leave (min),Эрта кетиш (дақ.)
Early leave deduction,
Earnings,Ҳисобланганлар
Edit,Таҳриф
Edit account,
Edit category,Турғунни таҳрирлаш
Edit customer,Мижозни таҳриф
Edit Deal,Битимни таҳрирлаш
Edit device,
Edit draft,
Edit expense,Харажатни таҳрирлаш
Edit field user,Майдон фойдаланувчисини таҳриф
Edit Item,Товарни таҳрирлаш
Edit journal entry,Проводкани таҳрирлаш
Edit Lead,Лидни таҳрирлаш
Edit mapping,
Edit OSA audit,OSA аудитини таҳриф
Edit outlet,Киймасни таҳриф
Edit period,Даврни таҳрирлаш
Edit photo report,Сурат ҳисобатини таҳриф
Edit PI Group,PI гуруҳини таҳрирлаш
Edit tender,Тендерни таҳрирлаш
Edit planogram,Планограммани таҳриф
Edit Price,Нархни таҳрирлаш
Edit Proforma,Проформани таҳрирлаш
Edit Promo Plan,Рекламани режалашни таҳриф
Edit Promo Scheme,Рекламани сўзни таҳриф
Edit purchase bill,Харид ҳисобини таҳрирлаш
Edit route,Маршрутни таҳриф
Edit supplier,Сотувчини таҳриф
Edit supplier quotation,Етказиб берувчи таклифини таҳрирлаш
Edit Tender Master,Асосий тендерни таҳрирлаш
Edit Transport & Payment Details,Ташиш ва Тўлов Тафсилотларини Таҳрирлаш
Edit Van Stock,Трансортни қўйма асосни таҳриф
Edit Vendor Category,Категорияни таҳрирлаш
Edit Visit,Буюртманы таҳриф
Edited,Таҳрирланди
Edited 1 field,1 майдон таҳрирланди
Edited {0} field(s),
Editing a past day,Ўтган кунни таҳрирлаш
Editing the rate updates the received amount.,Нархни таҳриф қилиш қабул қилинган суммани янгилайди.
Editing the received amount updates the exchange rate.,Қабул қилинган суммани таҳрирлаш курсни янгилайди.
Effective Date,Кучга кириш санаси
Effective fee,Якуний йиғим
EHF Status,EHF ҳолати
EHF Submissions,EHF топширилишлари
Email,Электрон почта
Email and name are required.,Электрон почта ва ном кераклиларидан.
Email or user ID,Email ва фойдаланувчи ID
Employee,Ходим
Employee carries additional responsibilities.,
Employee Device Mapping,
Employee Device Mapping {0} not found.,
Employee has no linked user account.,
Employee ID,
Employee ID and PIN are required.,
Employee ID is required.,
Employee is required.,
employee is required.,
Employee name,
Employee or exception type…,
Employee Profile,
Employee saved.,
Employee summaries,
Employee works in heavy/hazardous conditions.,
Employee {0} not found.,
"Employee, device ID or phone…",
"Employee, type or reason…",
Employees,Ходимлар
employees,
Employment,
empty,бўш
Empty,Бўш
Empty allowed list = user can access every company.,Бўш рухсатлар рўйхати = фойдаланувчи ҳар бир компанияни кира оласи.
Enable,
Enable account?,
Enable TimePay sync,
Enabled,Ёқилган
Enabled (bot access),Ёқилган (бот кириши)
End,Охири
End Date,Охирги сана
End date cannot be before start date.,
End Date must be on or after Start Date.,Охирги сана дастлабки сана орасида ё кейин бўлиши керак.
End of ledger,
Enforcement,Мажбурлаш
Enter a bank and/or cash amount.,Банк ва/ёки нақд суммани киритинг.
Enter a quantity for at least one row.,Камида битта қатор учун миқдор киритинг.
Enter amount and commission to see preview.,Кўриб чиқиш учун сумма ва комиссияни киритинг.
Enter an amount greater than zero.,Нолдан катта сумма киритинг.
Enter at least one allocation amount.,Камида битта тақсимот суммасини киритинг.
Enter at least one count that differs from the system quantity.,Тизимдаги миқдордан фарқ қиладиган камида битта саноқни киритинг.
Enter at least one received line.,Камида битта қабул қилинган қаторни киритинг.
Enter at least one return qty.,Камида бир қайтариш миқдорини киритинг.
Enter at least one transfer amount.,Камида битта ўтказма суммасини киритинг.
Enter cost and term to see the payment schedule.,Тўлов жадвалини кўриш учун таннарх ва муддатни киритинг.
enter password,паролни киритинг
Enter protocol / authorization reason…,Баённома рақами ёки сабабни киритинг…
Enter the quantity to return for each line. Leave 0 to exclude a line.,Ҳар бир сатр учун қайтарилиши керак бўлган миқдорни киритинг. Сатрни чиқариб юбориш учун 0 қўйинг.
Enter your Employee ID and secure PIN,
Entered rate deviates by {pct}% from CBU rate.,Киритилган курс CBU курсидан {pct}% га фарқ қилади.
entries,
Entries on/before this date are frozen.,
entries. Narrow the date range to see older ones.,ёзувлар. Қўски саналарни кўриш учун саналар оралиғини торайтиринг.
Entry,Ёзув
Entry cancelled.,Ёзув бекор қилинди.
Entry submitted.,Ёзув тасдиқланди.
equal,тенг
Equipment,Ускуна
Equipment and Issue are required.,Ускуна ва муаммо кераклиларидан.
Equipment coverage,Жиҳоз қамрови
Equipment is required.,Ускуна қўлланилиши керак.
Equipment name is required.,Ускуна номи қўлланилиши керак.
Equity,Капитал
ERP Platform,ERP Платформа
ERPNext,
ERPNext Employee docname (EMP-XXXXX).,
ERPNext System Reference ID,Тизим ҳавола рақами
Error,Хато
error(s),хато(лар)
Errors,Хатолар
Errors only,Фақат хатолар
estimate,тахминий
Estimate from the HS rate table; the cleared GTD remains authoritative.,HS ставкалар жадвали бўйича ҳисоб; расмийлаштирилган ГТД асосий ҳисобланади.
Estimate landed charges,Етказиб бериш харажатларини баҳолаш
Estimate landed costs,Етказиб бериш харажатларини баҳолаш
Estimated Arrival,Тахминий етиб келиш
Estimated arrival,Тахминий етиб келиш
Estimated total,Тахминий жами
Estimated Total Value,Тахминий умумий қиймат
Estimated value,Баҳоланган қиймат
ETA,ETA
ETD,ETD
ETD / ETA,ETD / ETA
EUR → UZS,EUR → сўм
Event ID,
"Event ID, device user or employee…",
Event requeued for processing.,
Events,Ходисалар
Events appear here as soon as a device or integration pushes data. Use the filters above to narrow results.,
every action recorded,ҳар амал қайд этилган
Every card is an ERP deal record,Ҳар карта — ERPдаги битим ёзуви
Every line of the selected proformas is already fully shipped.,Танланган проформаларнинг барча қаторлари аллақачон тўлиқ жўнатилган.
Every lot is counted in exactly one stage,Ҳар лот фақат битта босқичда саналади
Every number is read from an ERP record,Ҳар бир рақам ERP ёзувидан ўқилади
every required document attached,барча зарур ҳужжатлар бириктирилган
Every route row needs an outlet.,Ҳар бир маршрут сатри киймасни сўрайди.
Every shipped line agrees with this proforma.,Ҳар бир жўнатилган қатор ушбу проформага мос.
"Every voucher behind the balance: invoices, payments, journal entries.","Баланс ортидаги ҳар бир ҳужжат: инвойслар, тўловлар, журнал ёзувлари."
Everything looks complete,Ҳаммаси тўлиқ
Exact,
Exceeded (Annual),
Exceeded (Monthly),
Excel,Excel
Excel (.xlsx),Excel (.xlsx)
Excel — basic,Excel — оддий
Excel — professional,Excel — профессионал
Exception ignored.,
Exception justification,Истисно сабаби
Exception name is required.,
Exception resolved.,
Exception Type,
Exceptions,
Exceptions by Type,
Exceptions Queue,
Exchange fee,Биржа комиссияси
Exchange rate,Алмашта нарх
Exchange rate ({0}),
Exchange rate must be greater than zero.,Валюта курси нолдан катта бўлиши керак.
Exchange rate preview,
Exchange Rate Revaluation,
Exchange rate staleness,
Exchange rate unavailable — enter it manually.,Алмашта нарх мавжуд эмас — уни қўлда киритинг.
Exchange rate unavailable — line prices were not converted. Enter the rate manually.,Валюта курси мавжуд эмас — қатор нархлари қайта ҳисобланмади. Курсни қўлда киритинг.
Exchange Rates,Валюта курслари
Excise,Акциз
Excise %,Акциз %
Excise Amount (UZS),Акциз миқдори (UZS)
Excise Rate %,Акциз ставкаси %
Exclusive,Устига
Exclusive: commission added on top — sender pays more.,Устига: комиссия қўшилади — жўнатувчи кўпроқ тўлайди.
Execute material transfer for this Work Order? This will move required raw materials to the WIP warehouse.,
Execute transfer?,
Execution,Ижро
Execution flow,Ижро оқими
Execution spread,Ижро тафовути
Existing vouchers,Мавжуд ваучерлар
Exit,
Expand,Кенгайтиринг
Expand all,Ҳамма нарсани кенгайтиринг
Expand all groups,Ҳар бир гуруҳни кенгайтиринг
Expand Tender navigation,Тендер навигациясини очиш
Expected,Кутилаётган
Expected (kg),Кутилган (кг)
Expected advance,Кутилаётган аванс
Expected arrival,Кутилаётган келиш
Expected Closure,Режалаштирилган япилиш
Expected Facings,Кутилаётган берувчилик
Expected facings is required on row {0}.,Кутилаётган берувчилик {0} сатрда қўлланилиши керак.
Expected Monthly Volume,Кутилаётган ойлик ҳажм
Expected payment,Кутилаётган тўлов
Expected Payment Date,Кутилаётган тўлов санаси
Expected quantities are locked after the first submitted Truck Receipt.,Кутилаётган миқдорлар биринчи тасдиқланган машина қабулидан сўнг қулфланади.
Expected quantities locked,Кутилаётган миқдорлар қулфланган
Expected quantities refreshed from container packing lists.,Кутилаётган миқдорлар контейнер қадоқлаш рўйхатларидан янгиланди.
Expense,Харжи
Expense account,Харажат ҳисоби
Expense capitalized on {count} container cost line(s).,Харажат {count} та контейнер харажат сатрига капиталлаштирилди.
Expense created.,Харажат яратилди.
Expense Date,Харажат санаси
Expense date,Харажат санаси
Expense documents,Харажат ҳужжатлари
Expense entry cancelled.,
Expense lines,Харжи сатрлари
Expense recorded.,Харажат қайд этилди.
Expense recorded. Journal Entry {je} posted.,Харажат қайд этилди. {je} журнал ёзуви ўтказилди.
Expense removed from the landed cost ({count} cost line(s) deleted).,Харажат якуний таннархдан олиб ташланди ({count} та харажат сатри ўчирилди).
Expense saved and sent for approval — no money has left the cash desk yet.,Харажат сақланди ва тасдиқлашга юборилди — пул кассадан ҳали чиқмади.
Expense saved · {name},Харажат сақланди · {name}
Expense saved.,Харажат сақланди.
"Expense, supplier or CI… ⌘K","Харажат, етказиб берувчи ёки инвойс… ⌘K"
Expenses,Харжилар
Expenses without bills,Ҳисобсиз харажатлар
Expired,Муддати тугаган
Expires,
Expires in,Тугашига
Expiring soon,Муддати тугаяпти
Expiring within,Тугаш муддати
Expiry,Муддати
Expiry date,Яроқлилик муддати
Explain why the 5-quote / 2-country policy could not be fulfilled…,Нима учун 5 таклиф / 2 мамлакат қоидаси бажарилмаганини тушунтиринг…
Explain why this supplier was selected over others…,Нима учун ушбу етказиб берувчи танланганини тушунтиринг…
Export,Экспорт
Export CSV,CSV экспорт
Export failed.,Экспорт нокамоб
Exposure amount,Экспозиция суммаси
Extra,Қўшимча
Extra duty pay as a % of the effective base (e.g. acting role). 0 = none.,"Вазифа учун қўшимча тўлов, самарали асоснинг % сифатида (масалан, в.б.). 0 = йўқ."
Extra lateness from slow device clock.,
F.I.O.,Ф.И.Ш.
fact,факт
Failed,Хатолик
Failed to assign ticket.,Мурожаатни белгилаб бўлмади.
Failed to build Landed Cost Voucher payload.,
Failed to cancel entry.,
Failed to cancel transfer.,
Failed to cancel.,Бекор қилиш нокамоб.
Failed to clear reservations.,Зарбри танзимлашни тозалаш нокамоб.
Failed to close sales order.,
Failed to close visit.,Ташрифни ёпиб бўлмади.
Failed to collect payment.,
Failed to convert deal to customer.,Битимни мижозга айлантириб бўлмади.
Failed to create bill.,Ҳисобни ишлаб чиқарилиши нокамоб.
Failed to create billing document.,Ҳужжатни яратиб бўлмади.
Failed to create column.,
Failed to create contract.,Шартнома яратиб бўлмади.
Failed to create debit note.,
Failed to create equipment.,Ускунани ишлаб чиқарилиши нокамоб.
Failed to create invoice.,Чакана санадни ишлаб чиқарилиши нокамоб.
Failed to create item.,Товарни ишлаб чиқарилиши нокамоб.
Failed to create journal entry.,Журнал ёзувини ишлаб чиқарилиши нокамоб.
Failed to create payment.,Тўлов яратиб бўла олмади.
Failed to create promo plan.,Рекламалаш режасини яратиб бўла олмади.
Failed to create quotation.,Таклифномани яратиб бўла олмади.
Failed to create receipt.,Қабул ҳужжатини яратиб бўлмади.
Failed to create return.,Қайтарув яратиб бўла олмади.
Failed to create sales order.,Сотув буйртмасини яратиб бўла олмади.
Failed to create ticket.,Мурожаат яратиб бўлмади.
Failed to create transfer.,Ўтказма яратиб бўлмади.
Failed to create warehouse.,Омборни яратиб бўла олмади.
Failed to create.,Яратиб бўла олмади.
Failed to delete bill.,Ҳисобни ўчириб бўлмади.
Failed to delete cashier.,Кассирни ўчириб бўлмади.
Failed to delete column.,
Failed to delete customer.,Мижози ўчириб бўла олмади.
Failed to delete deal.,Битимни Ӯчириб бўлмади.
Failed to delete entry.,
Failed to delete lead.,Лидни Ӯчириб бўлмади.
Failed to delete supplier.,Таъминотчини ўчириб бўла олмади.
Failed to delete transfer.,
Failed to link.,Боғлаш амалга ошмади.
Failed to load accounts.,Ҳисобларни юклаб бўла олмади.
Failed to load aging.,Сақланган маълумотларни юклаб бўла олмади.
Failed to load alerts.,Оғоҳланишларни юклаб бўла олмади.
Failed to load attendance.,
Failed to load bills.,Счет-фактураларни юклаб бўла олмади.
Failed to load calendar.,Тақвимни юклашда хатолик.
Failed to load cashier.,Кассирни юклаб бўлмади.
Failed to load cashiers.,Кассирларни юклаб бўлмади.
Failed to load claim.,Талабни юклаб бўла олмади.
Failed to load commercial invoices.,Тижорат инвойслари юкланмади.
Failed to load containers.,Контейнерлар юкланмади.
Failed to load contract.,Шартномани юклашда хатолик.
Failed to load contracts.,Шартномаларни юклашда хатолик.
Failed to load customer invoices.,
Failed to load customer.,Мижози юклаб бўла олмади.
Failed to load customers.,Мижозларни юклаб бўла олмади.
Failed to load customs declarations.,Божхона декларацияларини юклаб бўлмади.
Failed to load dashboard.,Панелни юклаб бўла олмади.
Failed to load deal.,Битимни юклаб бўлмади.
Failed to load deals.,Битимларни юклаб бўлмади.
Failed to load detail.,Тафсилотни юклаб бўлмади.
Failed to load details.,
Failed to load document.,
Failed to load documents,Ҳужжатларни юклаб бўлмади
Failed to load eligible proformas.,Мос проформаларни юклаб бўлмади.
Failed to load employee.,
Failed to load equipment.,Жиҳозни юклаб бўлмади.
Failed to load expenses.,Харажатларни юклаб бўлмади.
Failed to load form options.,Шакл параметрларини юклаб бўла олмади.
Failed to load freight bookings.,Юк бронларини юклаб бўлмади.
Failed to load GRN checklists.,Қабул варақаларини юклаб бўлмади.
Failed to load import attribution.,Импорт боғланишини юклаб бўлмади.
Failed to load import orders.,Импорт буюртмаларини юклаб бўлмади.
Failed to load invoice.,Счет-фактураси юклаб бўла олмади.
Failed to load invoices.,Счет-фактураларни юклаб бўла олмади.
Failed to load items.,Товарларни юклаб бўла олмади.
Failed to load journal entries.,Журнал ёзувларини юклаб бўла олмади.
Failed to load lead.,Лидни юклаб бўлмади.
Failed to load leads.,Лидларни юклаб бўлмади.
Failed to load ledger.,Реестрни юклаб бўла олмади.
Failed to load open invoices.,Очиқ ҳисоб-фактураларни юклаб бўлмади.
Failed to load operations desk.,Операцион стол юкланмади.
Failed to load options.,Параметрларни юклаб бўла олмади.
Failed to load OSA audit.,OSA аудитини юклаб бўла олмади.
Failed to load outlets.,Нуқталарни юклаб бўлмади.
Failed to load overdue installments.,Муддати ўтган тўловларни юклаб бўлмади.
Failed to load party defaults.,Томонга оид стандартларни юклаб бўла олмади.
Failed to load payment defaults.,Тўлов стандартларини юклаб бўла олмади.
Failed to load payment entries.,Тўлов ёзувларини юклаб бўла олмади.
Failed to load payments.,Тўловларни юклаб бўлмади.
Failed to load photo report.,Сурат ҳисоботини юклаб бўла олмади.
Failed to load PI advances.,PI авансларини юклаб бўлмади.
Failed to load PI group container status report.,Ҳисоботни юклаб бўлмади.
Failed to load PI groups.,PI гуруҳларини юклаб бўлмади.
Failed to load planogram.,Планограммани юклаб бўла олмади.
Failed to load POS profile.,
Failed to load POS profiles.,
Failed to load process.,Жараённи юклаб бўлмади.
Failed to load processes.,Жараёнларни юклаб бўлмади.
Failed to load proforma details.,Проформа маълумотларини юклаб бўлмади.
Failed to load proformas.,Проформаларни юклаб бўлмади.
Failed to load promo plan.,Рекламалаш режасини юклаб бўла олмади.
Failed to load promo scheme.,Рекламалаш схемасини юклаб бўла олмади.
Failed to load purchase orders.,
Failed to load quotations.,Таклифномаларни юклаб бўла олмади.
Failed to load report.,Ҳисоботни юклаб бўлмади.
Failed to load reserved stock data.,
Failed to load sales order.,
Failed to load sales orders.,Сотув буйртмаларини юклаб бўла олмади.
Failed to load sales report.,
Failed to load service calendar.,Хизмат тақвимини юклаб бўлмади.
Failed to load service map.,Сервис харитасини юклаб бўлмади.
Failed to load service tickets.,Сервис мурожаатларини юклаб бўлмади.
Failed to load service visits.,Ташриф рўйхатини юклаб бўлмади.
Failed to load staging queue.,
Failed to load stock entries.,Қоймонаси ёзувларини юклаб бўла олмади.
Failed to load stock ledger.,Қоймонаси реестрини юклаб бўла олмади.
Failed to load stock status.,
Failed to load supplier.,Таъминотчини юклаб бўла олмади.
Failed to load suppliers.,Таъминотчиларни юклаб бўла олмади.
Failed to load the booking.,Бронни юклаб бўлмади.
Failed to load the category.,Категорияни юклаб бўлмади.
Failed to load the commercial invoice.,Тижорат инвойси юкланмади.
Failed to load the container.,Контейнер юкланмади.
Failed to load the cost ledger.,Харажатлар реестрини юклаб бўлмади.
Failed to load the declaration.,Декларацияни юклаб бўлмади.
Failed to load the expense.,Харажатни юклаб бўлмади.
Failed to load the GRN checklist.,Қабул варақасини юклаб бўлмади.
Failed to load the import order.,Импорт буюртмасини юклаб бўлмади.
Failed to load the imports dashboard.,Импорт панели юкланмади.
Failed to load the landed-cost review.,Етказиб бериш қиймати кўригини юклаб бўлмади.
Failed to load the PI group.,PI гуруҳини юклаб бўлмади.
Failed to load the proforma.,Проформани юклаб бўлмади.
Failed to load the request for quotation.,Нарх сўровини юклаб бўлмади.
Failed to load the supplier summary.,Етказиб берувчи бўйича жамини юклаб бўлмади.
Failed to load the truck receipt.,Машина қабулини юклаб бўлмади.
Failed to load the truck.,Юк машинаси юкланмади.
Failed to load ticket.,Мурожаатни юклаб бўлмади.
Failed to load transfer detail.,Ўтказма тафсилотларини юклашда хатолик.
Failed to load transfers.,Ўтказмаларни юклашда хатолик.
Failed to load transporter dashboard.,Ташувчилар панели юкланмади.
Failed to load trucks.,Юк машиналари юкланмади.
Failed to load unbilled visits.,Ҳисобланмаган ташрифларни юклаб бўлмади.
Failed to load valuation history.,Баҳолаш тарихини юклашда хатолик.
Failed to load van stock.,Ўтувчи қоймонасини юклаб бўла олмади.
Failed to load vendor categories.,Категорияларни юклаб бўлмади.
Failed to load veterinary certificates.,Ветеринария сертификатларини юклаб бўлмади.
Failed to load visit.,Сўроғини юклаб бўла олмади.
Failed to load warehouses.,Омборларни юклаб бўла олмади.
Failed to load work orders.,
Failed to load.,Юклаб бўла олмади.
Failed to move deal.,Битимни кўчириш муваффақиятсиз бўлди.
Failed to move ticket.,Мурожаатни кўчириб бўлмади.
Failed to pay advance.,Аванс тўлаб бўлмади.
Failed to preview collection.,
Failed to reallocate payment.,Тўловни қайта тақсимлаб бўлмади.
Failed to record payment.,Тўловни ёзиб бўла олмади.
Failed to refresh claim.,Талабни янгилаб бўла олмади.
Failed to rename column.,
Failed to reorder columns.,
Failed to reschedule visit.,Ташрифни қайта режалаштириш амалга ошмади.
Failed to reset password.,
Failed to run report.,Ҳисоботни ишга тушириб бўла олмади.
Failed to save cashier.,Кассирни сақлаб бўлмади.
Failed to save customer.,Мижози сақлаб бўла олмади.
